sr. No	Description	Unit	Nos	L	B	H	Qty	Remark
1	Bhardawaj	Cum	2	5	5	5	250	 
2	Laximikant	Cum	3	1.5	1.5	0.1	0.675	 
3	Anand	Cum	5	1.5	1.5	0.1	1.125	 
4	Mamta	Cum	6	1.5	1.5	0.1	1.35	 
5	Ajinkya	Cum	4	1.5	1.5	0.1	0.9	 
6	Radheshyam	Cum	5	2	2	0.1	2	 
7	Priya	Cum	5	2	2	0.1	2	 
8	Vaishnavi	Cum	1	2	2	0.1	0.4	 
9	Swati	Cum	25	2	2	0.1	10	 
10	Bhakti	Cum	5	2	2	0.1	2	 
11	Shradha	Cum	2	2	2	0.1	0.8	 
12	Raju	Cum	2	1.5	1.5	0.4	1.8	 
13	Bhardawaj	Cum	45	1.5	1.5	0.4	40.5	 
14	Umesh	Cum	5	1.5	1.5	0.4	4.5	 
15	Datta	Cum	5	1.5	1.5	0.4	4.5	 
16	Datta	Cum	6	2	2	0.4	9.6	 
17	Kiran	Cum	5	2	2	0.4	8	 
18	Radheshyam	Cum	45	2	2	0.4	72	 
19	Bhardawaj	Cum	33	2	2	0.4	52.8	 
20	Bhardawaj	Cum	5	2	2	0.4	8	 
21	Bhardawaj	Cum	6	2	2	0.4	9.6	 
22	Bhakti	Cum	8	2	2	0.4	12.8	 
23	Laximikant	Cum	9	2	2	0.4	14.4	 
24	Anand	Cum	8	2	2	0.4	12.8	 
25	Priya	Cum	2	2	2	0.4	3.2	 
26	Bhakti	Cum	3	2	2	0.4	4.8	 
27	Laximikant	Cum	1	2	2	0.4	1.6	 
28	Mamta	Cum	4	2	2	0.4	6.4	 
29	Bhakti	Cum	55	2	2	0.4	88	 
30	Mamta	Cum	5	2	2	0.4	8	 
